text,condition,record_type
"Strict confinement (crate rest, leash walks only for elimination) mandated for 8 weeks post-operatively.",Mobility Problems,Clinical Notes
Engorged Ixodes pacificus tick removed from shoulder. Discuss Lyme condition prevention/monitoring.,Parasites,Clinical Notes
"Bladder management (manual expression, catheterization) required for paralyzed patients.",Mobility Problems,Clinical Notes
Rabbit has discharge coming from the ear.,Ear Infections,Owner Observation
"Dog’s ears have a rash with small, crusty bumps.",Skin Irritations,Owner Observation
My cat has bad breath and occasionally vomits foam.,Digestive Issues,Owner Observation
Cat’s ears have a brown discharge and bad smell.,Ear Infections,Owner Observation
My ferret arches his back when I pick him up.,Mobility Problems,Owner Observation
Radiographs show significant joint effusion in bilateral stifles.,Mobility Problems,Clinical Notes
Ensure accurate weight for correct dosage of preventatives/treatments.,Parasites,Clinical Notes
"Radiographs reveal aggressive bone lesion (lysis, periosteal reaction) in distal radius; suspect osteosarcoma.",Mobility Problems,Clinical Notes
Splint or cast applied for stabilization.,Mobility Problems,Clinical Notes
My puppy has 'growing pains' (panosteitis).,Mobility Problems,Owner Observation
Prescribe anti-nausea medication (maropitant) for vestibular signs.,Ear Infections,Clinical Notes
Dietary modification: increase fiber for constipation/colitis.,Digestive Issues,Clinical Notes
Pythiosis suspected due to transmural GI thickening on ultrasound; serology or biopsy needed.,Digestive Issues,Clinical Notes
My ferret seems painful in his back.,Mobility Problems,Owner Observation
Ferret seems painful around the head.,Ear Infections,Owner Observation
"Inquire about travel history, exposure to wildlife, and housing conditions to assess parasite risk.",Parasites,Clinical Notes
"Myelogram performed, shows spinal cord compression.",Mobility Problems,Clinical Notes
Provide handout on tick prevention and removal.,Parasites,Clinical Notes
Treat generalized demodicosis with oral isoxazoline (off-label use may require informed consent) or injectable moxidectin.,Parasites,Clinical Notes
My bird has crusty growths on its beak and feet.,Parasites,Owner Observation
Perform baseline CBC/Chemistry panel before starting NSAIDs; recheck periodically.,Mobility Problems,Clinical Notes
Primary secretory otitis media (PSOM) suspected in Cavalier King Charles Spaniel.,Ear Infections,Clinical Notes
Otitis with waxy debris; flush and medicate.,Ear Infections,Clinical Notes
Cat has developed hives/welts after being outside.,Skin Irritations,Owner Observation
My cat has crusty lesions around her eyes and nose.,Skin Irritations,Owner Observation
Hypovitaminosis C (scurvy) suspected in anorexic guinea pig with painful joints/lameness. Supplement Vitamin C immediately.,Mobility Problems,Clinical Notes
Multiple papules and pustules on ventral thorax; impression smear reveals cocci.,Skin Irritations,Clinical Notes
Radiographs show diffuse gas pattern throughout bowel; no signs of obstruction.,Digestive Issues,Clinical Notes
"Provide client handout explaining heartworm life cycle, transmission, and prevention.",Parasites,Clinical Notes
My dog is reluctant to go for walks.,Mobility Problems,Owner Observation
My dog sits with his leg sticking straight out to the side.,Mobility Problems,Owner Observation
Consider referral to internal medicine specialist for complex cases.,Digestive Issues,Clinical Notes
My dog is knuckling over on his paws.,Mobility Problems,Owner Observation
"Heartworm antigen test positive. Confirm with microfilaria test/repeat antigen test. Stage condition (radiographs, echo). Initiate AHS protocol.",Parasites,Clinical Notes
Patellar luxation grade III; surgical consult.,Mobility Problems,Clinical Notes
Otitis externa with odor; start combo drops.,Ear Infections,Clinical Notes
Cytology (right ear) reveals Malassezia pachydermatis (yeast) +++ and cocci ++.,Ear Infections,Clinical Notes
Pain elicited on extension of bilateral hips and palpation of lumbar spine.,Mobility Problems,Clinical Notes
My dog has osteosarcoma requiring amputation.,Mobility Problems,Owner Observation
Dog has developed calluses on his elbows that are now cracking.,Skin Irritations,Owner Observation
Consider ventral bulla osteotomy (VBO) for isolated middle ear condition or polyp removal.,Ear Infections,Clinical Notes
Positive cranial drawer sign in right stifle; consistent with cranial cruciate ligament (CCL) rupture.,Mobility Problems,Clinical Notes
Cat vomited a large hairball this morning.,Digestive Issues,Owner Observation
My rabbit has fur mites (Cheyletiella).,Parasites,Owner Observation
Pain medication (buprenorphine) administered for abdominal discomfort.,Digestive Issues,Clinical Notes
"Counsel owner on potential side effects of NSAIDs (GI upset, kidney/liver issues) and other analgesics.",Mobility Problems,Clinical Notes
My ferret's skin looks yellowish and he's losing fur.,Skin Irritations,Owner Observation
"My puppy has dark specks in his ears, vet suspected mites.",Ear Infections,Owner Observation
"Regurgitation reported (passive expulsion of undigested food); suspect esophageal motility disorder or obstruction (e.g., megaesophagus, stricture). Barium swallow study considered.",Digestive Issues,Clinical Notes
"Hamster is scratching incessantly, causing small wounds.",Skin Irritations,Owner Observation
Biceps tendon test positive.,Mobility Problems,Clinical Notes
Ear swab cytology confirms presence of mite fragments and secondary Malassezia infection.,Parasites,Clinical Notes
Dog has a ruptured eardrum from a chronic infection.,Ear Infections,Owner Observation
Continue Demodex treatment until two consecutive negative skin scrapes one month apart.,Parasites,Clinical Notes
Wobbler syndrome (cervical spondylomyelopathy) suspected in large breed dog with neck pain and gait abnormalities.,Mobility Problems,Clinical Notes
My cat tries to vomit frequently but only retches.,Digestive Issues,Owner Observation
Discuss prognosis for diagnosed condition.,Skin Irritations,Clinical Notes
"Cat has visibly swollen joints, especially her wrists (carpi).",Mobility Problems,Owner Observation
"Polymyositis suspected; check CK levels, consider muscle biopsy.",Mobility Problems,Clinical Notes
"Rule out non-musculoskeletal causes of reluctance to move (e.g., systemic illness, abdominal pain).",Mobility Problems,Clinical Notes
My cat is holding her head tilted to one side.,Ear Infections,Owner Observation
Suspect vitamin C deficiency (scurvy) in guinea pig with lameness/reluctance to move; supplement vitamin C.,Mobility Problems,Clinical Notes
Cat looks carefully before jumping down from even low heights.,Mobility Problems,Owner Observation
My hamster’s stools are watery and frequent.,Digestive Issues,Owner Observation
My puppy eats constantly but is skinny and has soft poop.,Digestive Issues,Owner Observation
"Post-operative monitoring includes checking incision, pain assessment, monitoring for return of GI motility.",Digestive Issues,Clinical Notes
Rabbit has ear mites causing thick crusts.,Ear Infections,Owner Observation
My dog's thigh muscles look smaller than they used to.,Mobility Problems,Owner Observation
"Dog has diarrhea that smells metallic, like blood.",Digestive Issues,Owner Observation
"My cat used to love chasing laser pointers, now she just watches.",Mobility Problems,Owner Observation
Dog is licking obsessively at a spot between his shoulder blades.,Skin Irritations,Owner Observation
Treat tapeworms with praziquantel or epsiprantel.,Parasites,Clinical Notes
My dog whimpers when he tries to jump onto the bed.,Mobility Problems,Owner Observation
Dog's ear canal bleeds easily when cleaned.,Ear Infections,Owner Observation
"Educate owner on recognizing signs of dehydration (lethargy, sunken eyes, tacky gums).",Digestive Issues,Clinical Notes
Rabbit has flaky skin on the outside of its ear flaps.,Skin Irritations,Owner Observation
Exfoliative cytology performed on skin lesion.,Skin Irritations,Clinical Notes
Found a tick embedded in my cat's skin after she was outside.,Parasites,Owner Observation
"Comedones present on chin (feline acne); advise topical cleansing, possible antibiotics if secondary infection.",Skin Irritations,Clinical Notes
Cat has hair loss around the eyes and ears.,Parasites,Owner Observation
"Localized demodectic mange in young dog; monitor, may resolve spontaneously.",Skin Irritations,Clinical Notes
Perineal hernia noted; contributes to tenesmus and constipation. Surgical repair advised.,Digestive Issues,Clinical Notes
Consider nasopharyngeal polyp in young cats with upper respiratory or ear signs.,Ear Infections,Clinical Notes
Rule out concurrent infections or immunosuppressive conditions in animals with heavy parasite loads.,Parasites,Clinical Notes
"My dog has developed red, itchy patches on his belly and inner thighs.",Skin Irritations,Owner Observation
Recommend rehabilitation therapy including hydrotherapy and therapeutic exercises.,Mobility Problems,Clinical Notes
My rabbit is scratching its dewlap constantly.,Skin Irritations,Owner Observation
"Rabbit is moving very little, seems painful.",Ear Infections,Owner Observation
Cat's chin has blackheads and some pimple-like sores (chin acne).,Skin Irritations,Owner Observation
Campylobacter infection diagnosed via fecal culture.,Digestive Issues,Clinical Notes
My dog developed a head tilt and seems dizzy.,Mobility Problems,Owner Observation
My cat vomited a plant leaf.,Digestive Issues,Owner Observation
Cat got diarrhea after drinking milk.,Digestive Issues,Owner Observation
"Discuss zoonotic potential of certain GI parasites (Giardia, Toxoplasma).",Digestive Issues,Clinical Notes
My ferret shakes his head after I clean his ears.,Ear Infections,Owner Observation
"Monitor for neurological side effects with high-dose ivermectin protocols, especially in susceptible breeds.",Parasites,Clinical Notes
My rabbit has maggots near its tail (flystrike).,Parasites,Owner Observation
Hamster has wetness and irritation around its tail (wet tail).,Skin Irritations,Owner Observation
My dog's poop is covered in slimy mucus.,Digestive Issues,Owner Observation
Consider referral to veterinary dermatologist for refractory cases.,Skin Irritations,Clinical Notes
Puppy has roundworms and hookworms.,Parasites,Owner Observation
"Guinea pig has very rough, coarse fur and seems itchy.",Skin Irritations,Owner Observation
My rabbit has swelling around the ear base.,Ear Infections,Owner Observation
I found a live flea crawling on my arm after holding the cat.,Parasites,Owner Observation
Dog is anemic due to a heavy hookworm burden.,Parasites,Owner Observation
Rabbit has ear mites causing inflammation and head tilt.,Parasites,Owner Observation
"Cat has a swollen area on her face, like an abscess.",Skin Irritations,Owner Observation
My cat has fleas and tapeworms.,Parasites,Owner Observation
My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.,Ear Infections,Owner Observation
Ear mites in canal; clean and apply selamectin.,Parasites,Clinical Notes
"Lameness exam reveals moderate weight-bearing lameness, left forelimb (Grade 3/5).",Mobility Problems,Clinical Notes
